📊 User Settings:
ID: 1 | User: admin | Role: admin | Bypass: 0
ID: 122 | User: CNI0717764 | Role: 31 | Bypass: 0
ID: 123 | User: CNI0716131 | Role: 31 | Bypass: 0
ID: 124 | User: CNI0716726 | Role: 31 | Bypass: 0
ID: 125 | User: CNI0715081 | Role: 31 | Bypass: 0
ID: 126 | User: CNI0717833 | Role: 31 | Bypass: 0
ID: 127 | User: CNI0717861 | Role: 31 | Bypass: 0
ID: 128 | User: CNI0717780 | Role: 31 | Bypass: 0
ID: 129 | User: CNI0717868 | Role: 31 | Bypass: 0
ID: 130 | User: CNI0717482 | Role: 31 | Bypass: 0
ID: 131 | User: CNI0717720 | Role: 31 | Bypass: 0
ID: 132 | User: CNI0717816 | Role: 31 | Bypass: 0
ID: 133 | User: CNI0716772 | Role: 31 | Bypass: 0
ID: 134 | User: CNI0717485 | Role: 31 | Bypass: 0
ID: 135 | User: CNI0717200 | Role: 31 | Bypass: 0
ID: 136 | User: CNI0717057 | Role: 31 | Bypass: 0
ID: 137 | User: CNI0717856 | Role: 31 | Bypass: 0
ID: 138 | User: CNI0717821 | Role: 31 | Bypass: 0
ID: 139 | User: CNI0717838 | Role: 31 | Bypass: 0
ID: 140 | User: CNI0717450 | Role: 31 | Bypass: 0
ID: 141 | User: CNI0716727 | Role: 31 | Bypass: 0
ID: 142 | User: CNI0717869 | Role: 31 | Bypass: 0
ID: 143 | User: CNI0717178 | Role: 31 | Bypass: 0
ID: 144 | User: CNI0717834 | Role: 31 | Bypass: 0
ID: 145 | User: CNI0716089 | Role: 31 | Bypass: 0
ID: 146 | User: CNI0717786 | Role: 31 | Bypass: 0
ID: 147 | User: CNI0717817 | Role: 31 | Bypass: 0
ID: 148 | User: CNI0717006 | Role: 31 | Bypass: 0
ID: 149 | User: CNI0717530 | Role: 31 | Bypass: 0
ID: 150 | User: CNI0717230 | Role: 31 | Bypass: 0
ID: 151 | User: CNI0717789 | Role: 31 | Bypass: 0
ID: 152 | User: CNI0717223 | Role: 31 | Bypass: 0
ID: 153 | User: CNI0717631 | Role: 31 | Bypass: 0
